n_cal,env,method,seed,status,success_rate,avg_reward,rollout_rate,avg_rollouts_per_ep,total_rollouts,total_decisions,n_episodes,elapsed_seconds,gate_threshold,gate_signal,gate_direction,gate_buffer_size,summary_path
20,apps,seag,42,OK,0.7,0.9920000000000001,0.07317073170731707,0.2,6,82,30,82.61193466186523,0.9821817264113653,confidence,negative_fixed,6,results/phase_b_calibration_sweep/n_cal_20/apps/seag/seed_42/summary.json
20,apps,corefine,42,OK,0.7,0.9920000000000001,0.07317073170731707,0.2,6,82,30,80.5320508480072,0.017980595703015564,token_entropy,positive_fixed,6,results/phase_b_calibration_sweep/n_cal_20/apps/corefine/seed_42/summary.json
20,apps,cats,42,OK,0.7,0.8386666666666667,0.0,0.0,0,83,30,37.056116580963135,,confidence,negative_fixed,0,results/phase_b_calibration_sweep/n_cal_20/apps/cats/seed_42/summary.json
20,apps,auq,42,MISSING,,,,,,,,,,,,,results/phase_b_calibration_sweep/n_cal_20/apps/auq/seed_42/summary.json
20,apps,s1_budget,42,MISSING,,,,,,,,,,,,,results/phase_b_calibration_sweep/n_cal_20/apps/s1_budget/seed_42/summary.json
20,webshop,catts,42,OK,0.0,0.0,0.0,0.0,0,450,30,648.1646401882172,0.0644056396747278,vote_entropy,positive_fixed,0,results/phase_b_calibration_sweep/n_cal_20/webshop/catts/seed_42/summary.json
20,webshop,seag,42,OK,0.0,0.0,0.0,0.0,0,450,30,101.27290940284729,0.9376468391445051,confidence,negative_fixed,0,results/phase_b_calibration_sweep/n_cal_20/webshop/seag/seed_42/summary.json
20,webshop,corefine,42,OK,0.0,0.0,0.0,0.0,0,450,30,103.15149068832397,0.0644056396747278,token_entropy,positive_fixed,0,results/phase_b_calibration_sweep/n_cal_20/webshop/corefine/seed_42/summary.json
20,webshop,cats,42,OK,0.0,0.0,0.0,0.0,0,450,30,112.33077073097229,,confidence,negative_fixed,0,results/phase_b_calibration_sweep/n_cal_20/webshop/cats/seed_42/summary.json
20,webshop,auq,42,OK,1.0,0.8000000000000003,1.0,3.0,90,90,30,755.812429189682,0.9376468391445051,verbalized_confidence,negative_fixed,90,results/phase_b_calibration_sweep/n_cal_20/webshop/auq/seed_42/summary.json
20,webshop,s1_budget,42,OK,0.0,0.0,0.06666666666666667,1.0,30,450,30,262.5769393444061,1,fixed_budget,none,30,results/phase_b_calibration_sweep/n_cal_20/webshop/s1_budget/seed_42/summary.json
50,hotpotqa,catts,42,OK,0.5333333333333333,0.5333333333333333,0.005813953488372093,0.03333333333333333,1,172,30,143.2306249141693,0.003371275236194016,vote_entropy,positive_fixed,1,results/phase_b_calibration_sweep/n_cal_50/hotpotqa/catts/seed_42/summary.json
50,hotpotqa,seag,42,OK,0.6666666666666666,0.6666666666666666,0.31297709923664124,1.3666666666666667,41,131,30,121.43670225143433,0.9966344109583234,confidence,negative_fixed,41,results/phase_b_calibration_sweep/n_cal_50/hotpotqa/seag/seed_42/summary.json
50,hotpotqa,corefine,42,OK,0.6333333333333333,0.6333333333333333,0.26573426573426573,1.2666666666666666,38,143,30,111.90790295600891,0.003371275236194016,token_entropy,positive_fixed,38,results/phase_b_calibration_sweep/n_cal_50/hotpotqa/corefine/seed_42/summary.json
50,hotpotqa,cats,42,OK,0.5333333333333333,0.5333333333333333,0.0,0.0,0,172,30,29.495697021484375,,confidence,learned_single_signal,0,results/phase_b_calibration_sweep/n_cal_50/hotpotqa/cats/seed_42/summary.json
50,hotpotqa,auq,42,OK,0.9666666666666667,0.9666666666666667,0.9803921568627451,1.6666666666666667,50,51,30,112.9842529296875,0.9966344109583234,verbalized_confidence,negative_fixed,50,results/phase_b_calibration_sweep/n_cal_50/hotpotqa/auq/seed_42/summary.json
50,hotpotqa,s1_budget,42,OK,0.9666666666666667,0.9666666666666667,0.6078431372549019,1.0333333333333334,31,51,30,54.588075399398804,2,fixed_budget,none,31,results/phase_b_calibration_sweep/n_cal_50/hotpotqa/s1_budget/seed_42/summary.json
50,fever,catts,42,OK,0.3,0.3,0.005405405405405406,0.03333333333333333,1,185,30,150.1065490245819,9.755263963542973e-06,vote_entropy,positive_fixed,1,results/phase_b_calibration_sweep/n_cal_50/fever/catts/seed_42/summary.json
50,fever,seag,42,OK,0.36666666666666664,0.36666666666666664,0.6130952380952381,3.433333333333333,103,168,30,199.19214367866516,0.9999902447836235,confidence,negative_fixed,103,results/phase_b_calibration_sweep/n_cal_50/fever/seag/seed_42/summary.json
